Order ID,Order Date,Ship Mode,Customer Name,Segment,Country,City,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
CA-2016-152156,11/8/2016,Second Class,Claire Gute,Consumer,United States,Henderson,South,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,261.96,2,0.0,41.9136
CA-2016-152156,11/8/2016,Second Class,Claire Gute,Consumer,United States,Henderson,South,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94,3,0.0,219.582
US-2015-108966,10/11/2015,Standard Class,Sean O'Donnell,Consumer,United States,Fort Lauderdale,South,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,957.5775,5,0.45,-383.031
CA-2014-115812,6/9/2014,Standard Class,Brosina Hoffman,Consumer,United States,Los Angeles,West,FUR-FU-10001487,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,7,0.0,14.1694
CA-2014-115812,6/9/2014,Standard Class,Brosina Hoffman,Consumer,United States,Los Angeles,West,FUR-TA-10001539,Furniture,Tables,Chromcraft Rectangular Conference Tables,1706.184,9,0.2,85.3092
US-2017-156909,7/16/2017,Second Class,Sandra Flanagan,Consumer,United States,Philadelphia,East,FUR-CH-10002774,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",71.372,2,0.3,-1.0196
CA-2015-106320,9/25/2015,Standard Class,Emily Burns,Consumer,United States,Orem,West,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,1044.63,3,0.0,240.2649
US-2015-150630,9/17/2015,Standard Class,Tracy Blumstein,Consumer,United States,Philadelphia,East,FUR-BO-10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43,7,0.5,-1665.0522
US-2015-150630,9/17/2015,Standard Class,Tracy Blumstein,Consumer,United States,Philadelphia,East,FUR-FU-10004848,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124.2,3,0.2,15.525
CA-2016-117590,12/8/2016,First Class,Gene Hale,Corporate,United States,Richardson,Central,FUR-FU-10003664,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92,5,0.6,-147.963
CA-2015-117415,12/27/2015,Standard Class,Steve Nguyen,Home Office,United States,Houston,Central,FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.3992,3,0.32,-46.9764
CA-2015-117415,12/27/2015,Standard Class,Steve Nguyen,Home Office,United States,Houston,Central,FUR-CH-10004218,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",212.058,3,0.3,-15.147
CA-2015-115742,4/18/2015,Standard Class,Darren Powers,Consumer,United States,New Albany,Central,FUR-FU-10001706,Furniture,Furnishings,Longer-Life Soft White Bulbs,6.16,2,0.0,2.9568
CA-2015-115742,4/18/2015,Standard Class,Darren Powers,Consumer,United States,New Albany,Central,FUR-CH-10003061,Furniture,Chairs,"Global Leather Task Chair, Black",89.99,1,0.0,17.0981
CA-2016-111682,6/17/2016,First Class,Ted Butterfield,Consumer,United States,Troy,East,FUR-CH-10003968,Furniture,Chairs,Novimex Turbo Task Chair,319.41,5,0.1,7.098
CA-2015-135545,11/24/2015,Standard Class,Kunst Miller,Consumer,United States,Los Angeles,West,FUR-FU-10000397,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,79.76,4,0.0,22.3328
US-2015-164175,4/30/2015,Standard Class,Paul Stevenson,Home Office,United States,Chicago,Central,FUR-CH-10001146,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",213.115,5,0.3,-15.2225
US-2015-134026,4/26/2015,Standard Class,Joel Eaton,Consumer,United States,Memphis,South,FUR-CH-10000513,Furniture,Chairs,High-Back Leather Manager's Chair,831.936,8,0.2,-114.3912
